Ja'Marr Chase WR1
Tai Felton WR101
Tory Horton WR102
Savion Williams WR103
Jaylin Lane WR104
Chimere Dike WR105
Dont'e Thornton Jr. WR106
Arian Smith WR107
Roman Wilson WR108
Xavier Restrepo WR109
Jermaine Burton WR110
Raheim Sanders RB86
Kalel Mullings RB87
Elijah Mitchell RB88
Audric Estime RB89
Antonio Gibson RB90
Khalil Herbert RB91
Dameon Pierce RB92
Alexander Mattison RB93
A.J. Dillon RB94
Kenneth Gainwell RB95
Emanuel Wilson RB96
Dillon Gabriel QB38
Marcus Yarns RB97
Dawson Knox TE48
Sincere McCormick RB98
Kimani Vidal RB99
Samaje Perine RB100
Craig Reynolds RB101
Ty Johnson RB102
Foster Moreau TE49
Jeremy Ruckert TE50
